能力ID,能力域,原始基线语义分,原始基线可执行分,原始基线验证分,alpha6语义分(0-3),alpha6可执行分(0-3),alpha6验证分(0-3),alpha6审计结论,技术批准
POE-01,原始资产盘点、哈希、版本与谱系,1,1,1,3,3,3,P0软件合同已执行并有攻击测试,NOT_EVALUATED
POE-02,合同目标、交付项与验收标准,2,1,1,3,2,3,需求追踪已注册并通过结构/攻击测试；项目验收仍需具名批准,NOT_EVALUATED
POE-03,产品牌号、应用需求与CQA,1,0,0,2,1,1,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-04,催化剂、助催化剂、净化剂与杂质耐受,2,0,0,2,1,1,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-05,聚合反应网络与矩方法,2,0,0,3,2,3,P0参考实现/验证器已建立，项目技术批准仍未评估,NOT_EVALUATED
POE-06,参数估计、可辨识性与不确定度,2,0,0,3,1,2,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-07,热力学模型选择与参数回归,2,0,0,3,2,3,P0参考实现/验证器已建立，项目技术批准仍未评估,NOT_EVALUATED
POE-08,VLE、密度、焓、热容等物性验证,2,0,0,3,1,2,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-09,聚合物溶液黏度与传递性质,2,0,0,3,1,2,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-10,CSTR/PFR/串并联反应器模型,2,0,0,3,1,2,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-11,冷模、CFD、搅拌、功率与混合,1,0,0,3,1,1,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-12,传热、热点与安全裕度,2,0,0,3,1,2,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-13,千吨级稳态全流程,2,0,0,3,2,3,P0参考实现/验证器已建立，项目技术批准仍未评估,NOT_EVALUATED
POE-14,脱挥机理与非平衡边界,3,0,0,3,1,2,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-15,单体/溶剂回收、精馏、循环与杂质记忆,2,0,0,3,2,3,P0参考实现/验证器已建立，项目技术批准仍未评估,NOT_EVALUATED
POE-16,造粒、添加剂与产品后处理,1,0,0,2,1,1,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-17,公用工程与制冷体系,1,0,0,2,1,1,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-18,物料、元素、能量与VOC/水衡算,2,0,0,3,2,3,P0参考实现/验证器已建立，项目技术批准仍未评估,NOT_EVALUATED
POE-19,动态模型、控制器与扰动响应,2,0,0,3,2,3,P0参考实现/验证器已建立，项目技术批准仍未评估,NOT_EVALUATED
POE-20,开停车、牌号切换与异常工况,1,0,0,2,1,2,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-21,1000吨到20万吨放大,2,1,1,3,2,2,P0参考实现/验证器已建立，项目技术批准仍未评估,NOT_EVALUATED
POE-22,工艺包、设备数据和验收矩阵,2,1,0,3,3,3,P0软件合同已执行并有攻击测试,NOT_EVALUATED
POE-23,模型验证误差和独立数据,1,0,0,3,1,2,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-24,HSE、可靠性、TEA、LCA与IP接口,2,0,0,2,1,1,模块合同或原型已建立，仍需P1/P2深化,NOT_EVALUATED
POE-25,模拟器中立的规范模型,3,0,0,3,3,3,模拟器中立 case/物性/工艺包合同已执行并有恶意输入测试,NOT_EVALUATED
POE-26,源代码和二进制模型静态审计,1,0,0,3,3,3,139项资产、源码清单、受控二进制排除和 wheel 内容均已审计,NOT_EVALUATED
POE-27,已知解、反例和数值回归测试,0,0,0,3,3,3,已知解、守恒、边界、路径穿越、篡改与假PASS测试已执行,NOT_EVALUATED
POE-28,冲突、偏差、例外与变更控制,2,1,1,3,3,3,P0软件合同已执行并有攻击测试,NOT_EVALUATED
